JobTitel,CompanyName,Skills
Senior Java Developer,RDI -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring Framework · Java EE · OOD · Linux · Spring · Spring Boot · REST API
Senior Fullstack Java Developer for European Client,Confidential -,Full TimeFreelance / ProjectExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java EE · Rest API · Computer Science · Development · Information Technology (IT) · Java · Spring · Software Development
Java Lead,FlairsTech -,Full TimeWork From HomeManager · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Management · Leadership · Software Development · Agile · Angular · Computer Science · Information Technology (IT)
Senior Java Developer - Talented,Yeshtery -,Full TimePart TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Java · Spring · Git · Java EE · Database · Engineering · Information Technology (IT)
Senior Backend Engineer - Java,WorkMotion -,Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · engineer · Java · Spring · Spring Boot · Software engineer · Software Development · Back-End Development
Full Stack Senior Java Developer (Remotely for USA),Mobile Wave 3 -,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Java · JavaScript · React · CSS · Python · jQuery
Senior Java Developer,Al Beshara -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · developer · Information Technology (IT) · Java Developer · Java · Software Development · Computer Science · Software Engineering · senior
Java Developer,Confidential -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Java · Software · Software Development · JIRA · Information Technology (IT) · J2ee
Backend Team Lead (Java),Confidential -,Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Design · Engineering · Information Technology (IT) · Java · Lead · Software
Java Payment Application Support,Ejada (Cairo) -,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Application Support · Computer Science · Engineering · Information Technology (IT)
Senior Java Developer,Confidential -,Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · backend · API · Computer Science · Information Technology (IT) · RESTful · Java · Software Development
Development Manager-Java,LINK Development -,Full TimeManager · 10 - 13 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Engineering · Agile · Computer Science · Engineering · Docker · Spring · Angular
Senior Backend Developer (Java),SSC Egypt -,Full TimeExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Maven · Programming · Software Development · Spring · Communication skills · Computer Science · English
Senior Java Developer (Spring),Algoriza -,Full TimeWork From HomeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineering · Software Development · MVC · Oracle · Agile · Information Technology (IT) · Java · Computer Science
Java Developer (Spring),Algoriza -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Spring · Java · Agile · Computer Science · Design · Information Technology (IT) · J2EE · MVC
Senior Python / Django Developer,RDI -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · PostgresSQL · Debugging · GIT · Docker · javaScript
Python-Django Developer,Paymob Solutions -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · PostgreSQL · React · Web Development · Information Technology (IT) · HTML5
Senior Python Backend Developer,CROCOSOFT -,Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT)
Senior Python Developer,Paymob Solutions -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · APIs · Software Engineering · Information Technology (IT) · Python · REST · Software Development · SQL
Full Stack Python Developer,El Geel El Rakamy -,Full TimePart TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · MongoDB · Python · HTML5 · Git · CSS3 · Computer Science · Software Development · REST · JavaScript
ERP Next - Python Developer,Houya Arrow -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Development · HTML · ERP · HTML5 · Information Technology (IT) · IT
Python Software Developer (Packet Core CDD),Sceel.io -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Python · Docker · Jenkins · Kubernetes · Software Development · Automation · Development
Senior Backend (Python) Engineer - Customer Domain,Nana -,Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science
Packet Core Python Developer,Sceel.io -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Software Development · Cloud · pytest · Computer Science · Information Technology (IT)
Python Developer,OdooTec -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design
