javascript,"['js', 'ecmascript', '.js', 'javascript-execution', 'classic-javascript', 'javascript-alert', 'javascript-dom', 'javascript-disabled', 'javascript-library', 'javascript-runtime', 'vanilla-javascript', 'javascript-module', 'vanilla-js', 'vanillajs']"
python,"['pythonic', 'python-interpreter', 'python-shell', 'py']"
java,"['java-se', '.java', 'j2se', 'core-java', 'jdk', 'jre', 'java-libraries', 'oraclejdk', 'openjdk', 'javax', 'java-api']"
c#,"['c-sharp', 'c#.net', 'c#-language', 'visual-c#', 'csharp', '.cs-file']"
php,"['php-oop', 'php-date', 'php5', 'php-frameworks', 'hypertext-preprocessor', 'php.ini', 'php-cli', 'php-errors', 'php-mail', 'php-cgi', 'php-functions', 'php-session', 'php-fpm', 'phtml', 'php-include', 'php-namespaces', 'phpinfo']"
android,"['android-mobile', 'android-sdk', 'android-api', 'android-device', 'android-application', 'android-ui', 'android-framework']"
html,"['html-tag', 'html-attributes', 'div', 'divs', 'nested-divs', 'div-layouts', 'html-comments', 'span', 'webpage', 'time-tag', 'html5', 'html-head', 'html-syntax']"
jquery,"['jquery-core', 'jquery-live', 'addclass', 'toggleclass', 'removeclass', 'jquery-callback', 'jquery-after', 'jquery-hasclass', 'jquery-get', 'jquery-post', 'jquery-find', 'jquery-css', 'jquery-filter', 'jquery-effects']"
c++,"['cpp', 'cxx']"
css,"['cascading-style-sheet', 'css-layout', 'css-background-image', 'css-attributes', 'css-classes', 'css-height', 'css2', 'css-columns', 'css-inheritance', 'css-centering', 'min-height', 'min-width', 'max-height', 'max-width', 'box-model', 'style.css-template-file', 'css-validation', 'css-display', 'css-line-height', 'css-overflow', 'alternate-stylesheets', 'inline-block', 'css-box-model', 'font-weight', 'css-menu', 'css-reset', 'css-borders', 'dynamic-css', 'css-font-weight', 'css3', 'css-text-shadow', 'css-box-shadow', 'css-border-radius', 'css-border-image', 'css-text-overflow', 'box-sizing', 'box-shadow']"
ios,"['iphone-os', 'apple-ios', 'ios-sdk']"
mysql,"['my-sql', 'mysql-query', 'mysql-server', 'mysql-table', 'mysqld', 'mysqlclient', 'mysqldump', 'mysqlsh', 'mysql-if']"
sql,"['sql-query', 'sql-statement', 'sql-syntax', 'sql-select', 'sqlselect', 'select-statement']"
r,"['rstats', 'r-language']"
node.js,"['nodejs', 'io.js']"
reactjs,"['react', 'react-jsx', 'react.js']"
arrays,"['array', 'array-of-objects', 'javascript-array', 'string-array', 'char-array', 'jsonarray', 'mongodb-arrays', 'sub-arrays', 'character-arrays', 'swift-array', 'static-array', 'bytearray', 'arraycopy']"
asp.net,"['asp-net', 'aspx', 'asp.net-website', 'aspdotnet']"
json,"['json-parsing', 'json-encode', 'json-decode', 'jsonobject']"
ruby-on-rails,"['rails', 'ror']"
.net,"['dotnet', 'dot-net', '.net-framework']"
sql-server,"['mssql', 'ms-sql-server', 'sql-srever']"
python-3.x,"['python-3', 'py3k', 'python3k', 'python3', 'py3']"
swift,"['swift-language', 'swift-ios', 'swift1.2']"
objective-c,['objc']
angular,"['angular2', 'angular4', 'angular4.x', 'angularjs2']"
excel,"['ms-excel', 'workbook', 'excel-macro']"
regex,"['regexp', 'regular-expression', 'regular-expressions', 'regexes', 'regex-php', 'perl-regex', 'perlre', 'regularexpression', 'apache-regexp']"
iphone,"['iphone-sdk', 'iphone-development', 'iphone-app', 'iphone-programming', 'iphone-ios', 'iphone-web']"
ajax,"['.ajax', 'ajax-request']"
xml,['xml-file']
vba,"['visual-basic-applications', 'vba-macros', 'macros-vba']"
asp.net-mvc,"['asp-net-mvc', 'asp.mvc', 'mvc.net', 'asp-mvc', 'asp.net.mvc', 'aspnet-mvc', 'aspnet.mvc']"
spring,"['spring-framework', 'spring-config', 'spring-java-config']"
database,"['databases', 'db', 'database-structure', 'dbms']"
typescript,"['atscript', 'vanilla-typescript']"
wordpress,"['wordpress-permission', 'wordpress-loop', 'wordpress-widget', 'wordpress-filter', 'wordpress-plugin-dev', 'wordpress-mu', 'wordpress-theme-customize', 'wp-query', 'wordpress-plugin', 'wpdb', 'wordpress-upgrade']"
string,"['strings', 'string-manipulation', 'str', 'empty-string']"
mongodb,"['mongo', 'mongod']"
windows,"['windows-programming', 'windows-application', 'windows-applications']"
postgresql,"['postgres', 'pgsql', 'sql-postgres']"
xcode,['xcode-ide']
